Time,Open,High,Low,Close,Vol
20260105T093500,1.492,1.500,1.490,1.497,87000
20260105T094000,1.498,1.500,1.498,1.500,13100
20260105T094500,1.502,1.507,1.495,1.497,85600
20260105T095000,1.497,1.499,1.494,1.496,315400
20260105T095500,1.498,1.498,1.487,1.492,44500
20260105T100000,1.493,1.496,1.493,1.496,77400
20260105T100500,1.500,1.501,1.498,1.498,54500
20260105T101000,1.494,1.494,1.491,1.491,86700
20260105T101500,1.493,1.495,1.493,1.495,23700
20260105T102000,1.497,1.501,1.496,1.501,55200
20260105T102500,1.502,1.502,1.500,1.502,15100
20260105T103000,1.501,1.501,1.500,1.500,1100
20260105T103500,1.503,1.504,1.502,1.502,43800
20260105T104000,1.502,1.502,1.502,1.502,51100
20260105T104500,1.500,1.502,1.500,1.502,6700
20260105T105000,1.501,1.505,1.501,1.505,10100
20260105T105500,1.505,1.506,1.505,1.506,9700
20260105T110000,1.504,1.506,1.504,1.506,1800
20260105T110500,1.507,1.510,1.507,1.510,121500
20260105T111000,1.509,1.509,1.509,1.509,800
20260105T111500,1.507,1.507,1.507,1.507,4400
20260105T112000,1.506,1.506,1.505,1.505,15100
20260105T112500,1.505,1.506,1.505,1.506,700
20260105T113000,1.506,1.506,1.506,1.506,6200
20260105T130500,1.504,1.506,1.504,1.506,42001
20260105T131000,1.507,1.507,1.507,1.507,59300
20260105T131500,1.506,1.506,1.505,1.506,10800
20260105T132000,1.506,1.506,1.503,1.503,82299
20260105T132500,1.502,1.502,1.502,1.502,2700
20260105T133000,1.502,1.504,1.502,1.504,32000
20260105T133500,1.509,1.509,1.507,1.507,45300
20260105T134000,1.508,1.508,1.508,1.508,20100
20260105T135000,1.506,1.506,1.506,1.506,2000
20260105T135500,1.511,1.511,1.511,1.511,1000
20260105T140000,1.510,1.511,1.510,1.511,17000
20260105T140500,1.513,1.513,1.511,1.511,4700
20260105T141000,1.511,1.511,1.511,1.511,5100
20260105T141500,1.513,1.513,1.513,1.513,5900
20260105T142000,1.513,1.513,1.513,1.513,2000
20260105T142500,1.513,1.514,1.512,1.513,22600
20260105T143000,1.513,1.514,1.513,1.513,27300
20260105T143500,1.513,1.513,1.513,1.513,38400
20260105T144000,1.512,1.512,1.512,1.512,5500
20260105T144500,1.513,1.513,1.511,1.511,40400
20260105T145000,1.512,1.512,1.512,1.512,3300
20260105T145500,1.511,1.512,1.510,1.512,17900
20260105T150000,1.511,1.512,1.511,1.512,14500
20260106T093500,1.524,1.542,1.514,1.530,23400
20260106T094000,1.533,1.540,1.530,1.537,54100
20260106T094500,1.535,1.540,1.535,1.540,14200
20260106T095000,1.540,1.548,1.539,1.545,98100
20260106T095500,1.546,1.546,1.540,1.541,69000
20260106T100000,1.545,1.551,1.545,1.549,30100
20260106T100500,1.547,1.550,1.547,1.550,82300
20260106T101000,1.550,1.551,1.547,1.551,46000
20260106T101500,1.552,1.554,1.552,1.554,34400
20260106T102000,1.556,1.559,1.556,1.559,31500
20260106T102500,1.559,1.560,1.559,1.560,23800
20260106T103000,1.560,1.562,1.560,1.562,50100
20260106T103500,1.564,1.566,1.562,1.565,39000
20260106T104000,1.563,1.563,1.553,1.553,53100
20260106T104500,1.557,1.561,1.557,1.560,14500
20260106T105000,1.559,1.561,1.558,1.561,91000
20260106T105500,1.564,1.566,1.563,1.566,30400
20260106T110000,1.565,1.565,1.563,1.563,41300
20260106T110500,1.563,1.563,1.562,1.562,2100
20260106T111000,1.562,1.562,1.559,1.561,64400
20260106T111500,1.563,1.563,1.563,1.563,300
20260106T112000,1.566,1.567,1.563,1.564,30200
20260106T112500,1.565,1.565,1.565,1.565,4000
20260106T113000,1.566,1.566,1.566,1.566,27100
20260106T130500,1.563,1.567,1.563,1.566,51000
20260106T131000,1.567,1.569,1.566,1.567,114400
20260106T131500,1.564,1.564,1.564,1.564,13300
20260106T132000,1.566,1.566,1.565,1.566,2700
20260106T132500,1.565,1.566,1.564,1.564,81500
20260106T133000,1.564,1.564,1.561,1.561,40400
20260106T133500,1.561,1.563,1.561,1.563,12800
20260106T134000,1.563,1.564,1.560,1.560,24100
20260106T134500,1.558,1.558,1.555,1.555,15800
20260106T135000,1.554,1.557,1.552,1.557,99700
20260106T135500,1.557,1.557,1.553,1.553,23700
20260106T140000,1.553,1.556,1.552,1.552,43700
20260106T141000,1.554,1.556,1.554,1.554,40700
20260106T142500,1.562,1.562,1.562,1.562,2400
20260106T143000,1.562,1.562,1.562,1.562,100
20260106T143500,1.562,1.563,1.562,1.562,57800
20260106T144000,1.563,1.563,1.563,1.563,20100
20260106T144500,1.563,1.565,1.563,1.565,17600
20260106T145000,1.564,1.564,1.563,1.563,13100
20260106T145500,1.564,1.567,1.564,1.567,26600
20260106T150000,1.568,1.569,1.567,1.569,12800
20260107T093500,1.597,1.597,1.570,1.576,114800
20260107T094000,1.572,1.572,1.564,1.569,499700
20260107T094500,1.574,1.574,1.568,1.568,53700
20260107T095000,1.567,1.578,1.566,1.577,47700
20260107T095500,1.576,1.577,1.575,1.577,44700
20260107T100000,1.578,1.578,1.571,1.572,106800
20260107T100500,1.568,1.568,1.562,1.567,57500
20260107T101000,1.567,1.570,1.567,1.570,60000
20260107T101500,1.574,1.575,1.574,1.575,15400
20260107T102000,1.578,1.582,1.578,1.581,31500
20260107T102500,1.575,1.575,1.575,1.575,17000
20260107T103000,1.575,1.579,1.573,1.579,46100
20260107T103500,1.580,1.580,1.580,1.580,5000
20260107T104000,1.582,1.583,1.582,1.583,12200
20260107T104500,1.581,1.585,1.581,1.585,5400
20260107T105000,1.585,1.585,1.583,1.583,50100
20260107T110000,1.586,1.586,1.582,1.583,21500
20260107T110500,1.583,1.584,1.583,1.584,5000
20260107T111000,1.583,1.583,1.582,1.583,5400
20260107T111500,1.581,1.582,1.581,1.581,1500
20260107T112000,1.580,1.584,1.580,1.584,2800
20260107T112500,1.587,1.587,1.587,1.587,600
20260107T113000,1.586,1.586,1.585,1.585,33900
20260107T130500,1.585,1.586,1.577,1.577,127800
20260107T131000,1.576,1.577,1.574,1.577,21800
20260107T131500,1.575,1.575,1.573,1.573,3800
20260107T132000,1.576,1.576,1.574,1.574,1000
20260107T132500,1.572,1.572,1.572,1.572,4500
20260107T133000,1.569,1.569,1.565,1.566,15700
20260107T133500,1.569,1.569,1.568,1.569,13800
20260107T134000,1.566,1.569,1.566,1.568,1200
20260107T134500,1.567,1.567,1.561,1.561,37100
20260107T135000,1.562,1.562,1.560,1.560,28400
20260107T135500,1.560,1.565,1.560,1.565,304700
20260107T140000,1.565,1.565,1.565,1.565,600
20260107T140500,1.569,1.571,1.569,1.571,20100
20260107T141000,1.571,1.571,1.570,1.570,14700
20260107T141500,1.571,1.571,1.571,1.571,2000
20260107T142000,1.572,1.572,1.571,1.571,4100
20260107T142500,1.571,1.572,1.570,1.570,14300
20260107T143000,1.572,1.573,1.571,1.571,19800
20260107T143500,1.569,1.569,1.567,1.567,15300
20260107T144000,1.568,1.568,1.567,1.568,9200
20260107T144500,1.569,1.569,1.567,1.567,81500
20260107T145000,1.568,1.568,1.567,1.568,43600
20260107T145500,1.569,1.571,1.569,1.571,205400
20260107T150000,1.571,1.571,1.571,1.571,2200
20260108T093500,1.570,1.570,1.555,1.568,42500
20260108T094000,1.571,1.576,1.571,1.576,48100
20260108T094500,1.571,1.571,1.569,1.571,58900
20260108T095000,1.570,1.570,1.569,1.570,25100
20260108T095500,1.570,1.570,1.566,1.566,23600
20260108T100000,1.563,1.566,1.562,1.566,48400
20260108T100500,1.565,1.570,1.565,1.568,15600
20260108T101000,1.567,1.570,1.567,1.570,4900
20260108T101500,1.570,1.570,1.567,1.568,56400
20260108T102000,1.568,1.569,1.563,1.564,154300
20260108T102500,1.564,1.564,1.558,1.558,5200
20260108T103000,1.558,1.560,1.558,1.558,20900
20260108T103500,1.557,1.559,1.557,1.559,5500
20260108T104000,1.557,1.560,1.557,1.559,61000
20260108T104500,1.560,1.561,1.560,1.561,2100
20260108T105000,1.562,1.564,1.562,1.564,300
20260108T105500,1.566,1.569,1.566,1.569,13700
20260108T110000,1.569,1.570,1.569,1.570,9000
20260108T110500,1.570,1.570,1.569,1.570,400
20260108T111000,1.567,1.567,1.563,1.564,65100
20260108T111500,1.563,1.563,1.563,1.563,200
20260108T112000,1.562,1.562,1.562,1.562,1100
20260108T112500,1.562,1.563,1.562,1.563,103700
20260108T113000,1.565,1.565,1.565,1.565,300
20260108T130500,1.569,1.569,1.563,1.563,8600
20260108T131000,1.562,1.564,1.562,1.564,10600
20260108T131500,1.561,1.564,1.561,1.564,11700
20260108T132500,1.566,1.567,1.566,1.567,101100
20260108T133000,1.564,1.564,1.564,1.564,33600
20260108T133500,1.561,1.561,1.557,1.558,141500
20260108T134000,1.556,1.557,1.555,1.557,30000
20260108T134500,1.558,1.558,1.554,1.554,19100
20260108T135000,1.553,1.554,1.553,1.553,32700
20260108T135500,1.553,1.553,1.550,1.551,445900
20260108T140000,1.552,1.554,1.552,1.554,3800
20260108T140500,1.554,1.554,1.551,1.551,7200
20260108T141000,1.550,1.550,1.543,1.543,32200
20260108T141500,1.541,1.543,1.540,1.540,27900
20260108T142000,1.540,1.544,1.540,1.544,57800
20260108T142500,1.545,1.546,1.545,1.546,13000
20260108T143000,1.546,1.549,1.545,1.548,341800
20260108T143500,1.550,1.552,1.550,1.552,21100
20260108T144000,1.552,1.552,1.551,1.551,5400
20260108T144500,1.551,1.552,1.551,1.552,29100
20260108T145000,1.550,1.552,1.550,1.552,11800
20260108T145500,1.552,1.553,1.550,1.553,44100
20260108T150000,1.553,1.553,1.552,1.552,11100
20260109T093500,1.548,1.564,1.548,1.564,77300
20260109T094000,1.564,1.565,1.559,1.560,40900
20260109T094500,1.560,1.563,1.559,1.563,16000
20260109T095000,1.565,1.569,1.565,1.569,112700
