Time,Open,High,Low,Close,Vol
20260105T093100,38.320,38.320,38.200,38.200,614700
20260105T093200,38.180,38.200,38.120,38.140,313600
20260105T093300,38.130,38.130,38.080,38.100,316800
20260105T093400,38.140,38.170,38.120,38.160,261038
20260105T093500,38.180,38.180,38.130,38.130,259800
20260105T093600,38.140,38.160,38.130,38.140,141600
20260105T093700,38.150,38.150,38.130,38.150,158400
20260105T093800,38.150,38.220,38.150,38.220,109400
20260105T093900,38.230,38.250,38.230,38.250,90600
20260105T094000,38.250,38.280,38.240,38.250,151700
20260105T094100,38.260,38.270,38.250,38.270,87624
20260105T094200,38.270,38.310,38.270,38.310,114000
20260105T094300,38.300,38.320,38.300,38.300,72400
20260105T094400,38.300,38.350,38.300,38.310,187000
20260105T094500,38.310,38.310,38.280,38.280,74700
20260105T094600,38.270,38.280,38.250,38.250,96300
20260105T094700,38.240,38.250,38.220,38.230,99100
20260105T094800,38.220,38.240,38.210,38.210,140400
20260105T094900,38.200,38.260,38.200,38.240,143100
20260105T095000,38.250,38.250,38.220,38.240,127300
20260105T095100,38.250,38.250,38.220,38.230,70100
20260105T095200,38.230,38.250,38.230,38.240,50700
20260105T095300,38.240,38.260,38.220,38.230,72700
20260105T095400,38.230,38.230,38.200,38.210,166800
20260105T095500,38.220,38.230,38.200,38.200,87500
20260105T095600,38.210,38.230,38.200,38.220,68300
20260105T095700,38.220,38.250,38.210,38.240,70600
20260105T095800,38.250,38.260,38.240,38.240,66400
20260105T095900,38.240,38.240,38.220,38.230,76400
20260105T100000,38.230,38.270,38.220,38.270,104400
20260105T100100,38.270,38.280,38.240,38.240,87800
20260105T100200,38.240,38.240,38.200,38.210,116500
20260105T100300,38.200,38.210,38.190,38.190,123700
20260105T100400,38.190,38.200,38.150,38.160,175699
20260105T100500,38.150,38.170,38.150,38.170,119900
20260105T100600,38.170,38.170,38.100,38.120,422801
20260105T100700,38.120,38.140,38.120,38.130,101100
20260105T100800,38.130,38.140,38.120,38.130,85800
20260105T100900,38.130,38.140,38.130,38.130,105400
20260105T101000,38.130,38.150,38.120,38.140,81500
20260105T101100,38.140,38.160,38.140,38.150,101100
20260105T101200,38.150,38.150,38.130,38.140,100400
20260105T101300,38.140,38.140,38.120,38.120,113900
20260105T101400,38.120,38.130,38.120,38.130,96400
20260105T101500,38.130,38.130,38.100,38.100,344100
20260105T101600,38.100,38.110,38.100,38.110,127400
20260105T101700,38.110,38.120,38.100,38.110,141400
20260105T101800,38.110,38.120,38.100,38.110,106900
20260105T101900,38.120,38.120,38.110,38.120,61400
20260105T102000,38.110,38.120,38.100,38.110,151300
20260105T102100,38.110,38.120,38.100,38.110,65400
20260105T102200,38.110,38.130,38.110,38.120,117900
20260105T102300,38.130,38.130,38.120,38.120,64900
20260105T102400,38.110,38.130,38.110,38.120,56200
20260105T102500,38.120,38.140,38.120,38.140,77700
20260105T102600,38.140,38.150,38.130,38.150,131900
20260105T102700,38.140,38.150,38.130,38.140,47200
20260105T102800,38.130,38.140,38.120,38.130,61900
20260105T102900,38.130,38.140,38.130,38.140,96200
20260105T103000,38.140,38.160,38.140,38.160,93100
20260105T103100,38.160,38.180,38.160,38.170,90700
20260105T103200,38.180,38.180,38.170,38.180,69600
20260105T103300,38.180,38.180,38.160,38.180,75400
20260105T103400,38.170,38.180,38.150,38.150,52900
20260105T103500,38.150,38.160,38.150,38.150,71200
20260105T103600,38.150,38.170,38.150,38.170,126700
20260105T103700,38.160,38.160,38.150,38.160,30700
20260105T103800,38.160,38.170,38.160,38.170,38300
20260105T103900,38.170,38.170,38.160,38.170,33400
20260105T104000,38.170,38.170,38.160,38.170,75100
20260105T104100,38.170,38.180,38.150,38.170,131600
20260105T104200,38.160,38.170,38.140,38.140,93800
20260105T104300,38.140,38.150,38.140,38.150,88900
20260105T104400,38.140,38.160,38.140,38.150,100700
20260105T104500,38.150,38.160,38.140,38.150,173300
20260105T104600,38.150,38.150,38.130,38.140,79000
20260105T104700,38.140,38.140,38.130,38.140,206600
20260105T104800,38.140,38.160,38.130,38.160,136600
20260105T104900,38.170,38.170,38.150,38.150,142500
20260105T105000,38.150,38.160,38.150,38.160,103700
20260105T105100,38.160,38.160,38.150,38.150,129000
20260105T105200,38.150,38.150,38.140,38.150,89900
20260105T105300,38.140,38.150,38.140,38.150,60800
20260105T105400,38.140,38.160,38.140,38.150,118400
20260105T105500,38.150,38.150,38.140,38.150,125800
20260105T105600,38.170,38.170,38.150,38.150,99500
20260105T105700,38.150,38.160,38.140,38.150,88500
20260105T105800,38.140,38.160,38.140,38.150,293800
20260105T105900,38.150,38.160,38.140,38.160,83400
20260105T110000,38.150,38.160,38.140,38.160,50100
20260105T110100,38.160,38.160,38.130,38.140,114200
20260105T110200,38.140,38.150,38.130,38.150,118400
20260105T110300,38.150,38.160,38.140,38.150,123900
20260105T110400,38.140,38.150,38.140,38.140,114200
